Date,Campaign Name,Time Zone,Currency,Impressions,Clicks,CTR,Installs,InstallRate,CPC,CPI,Spend,AvgPos,Visibility,Customers,Revenue,ROAS,CPC2,ConvRate,Campaign
2025-08-24,Search_EN_Competitors_2024.08.12,UTC,USD,290,11,0.037931,5,0.454545,2.681818,5.9,29.5,1.306896,0.814606,1.0,76.13,2.580677,29.5,0.2,Competitors
2025-08-24,Search_EN_Trust_2025.03.17,UTC,USD,104,8,0.076923,4,0.5,5.0,10.0,40.0,2.365384,0.424489,,,,,,Trust
2025-08-25,Search_EN_Review-variations_2024.04.29,UTC,USD,175,12,0.068571,6,0.5,3.318333,6.636666,39.82,2.148571,0.056929,,,,,,Review-variations
2025-08-25,Search_EN_ProductReview_2024.08.05,UTC,USD,560,88,0.157142,64,0.727272,2.729545,3.753125,240.2,1.785714,0.494263,,,,,,ProductReview
2025-08-25,Search_EN_Competitors_2024.08.12,UTC,USD,298,14,0.046979,11,0.785714,2.892857,3.681818,40.5,1.285234,0.839436,,,,,,Competitors
2025-08-25,Search_EN_Trust_2025.03.17,UTC,USD,175,5,0.028571,3,0.6,5.0,8.333333,25.0,2.605714,0.550314,,,,,,Trust
2025-08-26,Search_EN_Trust_2025.03.17,UTC,USD,138,6,0.043478,5,0.833333,4.666666,5.6,28.0,2.333333,0.466216,,,,,,Trust
2025-08-26,Search_EN_Competitors_2024.08.12,UTC,USD,364,11,0.030219,7,0.636363,2.863636,4.5,31.5,1.434065,0.852459,1.0,75.0,2.380952,31.5,0.142857,Competitors
2025-08-26,Search_EN_ProductReview_2024.08.05,UTC,USD,567,88,0.155202,61,0.693181,2.711363,3.911475,238.6,1.853615,0.484201,4.0,228.41,0.957292,59.65,0.065573,ProductReview
2025-08-26,Search_EN_Review-variations_2024.04.29,UTC,USD,185,20,0.108108,11,0.55,3.571,6.492727,71.42,2.351351,0.055689,,,,,,Review-variations
2025-08-27,Search_EN_ProductReview_2024.08.05,UTC,USD,574,91,0.158536,63,0.692307,2.65934,3.841269,242.0,1.87979,0.465531,3.0,165.68,0.684628,80.666666,0.047619,ProductReview
2025-08-27,Search_EN_Trust_2025.03.17,UTC,USD,121,4,0.033057,1,0.25,5.0,20.0,20.0,1.966942,0.436823,,,,,,Trust
2025-08-27,Search_EN_Competitors_2024.08.12,UTC,USD,347,12,0.034582,9,0.75,3.041666,4.055555,36.5,1.354466,0.846341,2.0,180.0,4.931506,18.25,0.222222,Competitors
2025-08-27,Search_EN_Review-variations_2024.04.29,UTC,USD,192,15,0.078125,7,0.466666,2.918666,6.254285,43.78,2.333333,0.063178,,,,,,Review-variations
2025-08-28,Search_EN_Review-variations_2024.04.29,UTC,USD,172,18,0.104651,12,0.666666,3.644444,5.466666,65.6,1.924418,0.059515,1.0,60.91,0.928506,65.6,0.083333,Review-variations
2025-08-28,Search_EN_Competitors_2024.08.12,UTC,USD,368,10,0.027173,6,0.6,2.75,4.583333,27.5,1.429347,0.825112,,,,,,Competitors
2025-08-28,Search_EN_ProductReview_2024.08.05,UTC,USD,667,96,0.143928,72,0.75,2.501041,3.334722,240.1,1.91904,0.553986,1.0,60.92,0.253727,240.1,0.013888,ProductReview
2025-08-28,Search_EN_Trust_2025.03.17,UTC,USD,114,5,0.043859,4,0.8,4.8,6.0,24.0,2.359649,0.447058,,,,,,Trust
2025-08-29,Search_EN_Trust_2025.03.17,UTC,USD,115,4,0.034782,3,0.75,5.0,6.666666,20.0,2.573913,0.465587,,,,,,Trust
2025-08-29,Search_EN_Competitors_2024.08.12,UTC,USD,254,14,0.055118,10,0.714285,3.035714,4.25,42.5,1.366141,0.808917,1.0,60.9,1.432941,42.5,0.1,Competitors
2025-08-29,Search_EN_ProductReview_2024.08.05,UTC,USD,479,87,0.181628,61,0.701149,2.787356,3.975409,242.5,1.782881,0.502096,1.0,76.14,0.313979,242.5,0.016393,ProductReview
2025-08-29,Search_EN_Review-variations_2024.04.29,UTC,USD,189,24,0.126984,12,0.5,3.5875,7.175,86.1,2.068783,0.067644,1.0,30.44,0.353542,86.1,0.083333,Review-variations
2025-08-30,Search_EN_ProductReview_2024.08.05,UTC,USD,569,96,0.168717,76,0.791666,2.5,3.157894,240.0,1.794376,0.51916,3.0,196.82,0.820083,80.0,0.039473,ProductReview
2025-08-30,Search_EN_Competitors_2024.08.12,UTC,USD,264,10,0.037878,8,0.8,3.05,3.8125,30.5,1.321969,0.891891,,,,,,Competitors
2025-08-30,Search_EN_Review-variations_2024.04.29,UTC,USD,107,10,0.093457,6,0.6,3.25,5.416666,32.5,2.373831,0.056824,,,,,,Review-variations
2025-08-30,Search_EN_Trust_2025.03.17,UTC,USD,90,6,0.066666,6,1.0,5.0,5.0,30.0,2.288888,0.430622,,,,,,Trust
2025-08-31,Search_EN_Competitors_2024.08.12,UTC,USD,183,14,0.076502,8,0.571428,2.892857,5.0625,40.5,1.218579,0.892682,,,,,,Competitors
2025-08-31,Search_EN_Review-variations_2024.04.29,UTC,USD,145,13,0.089655,9,0.692307,2.92,4.217777,37.96,2.110344,0.081828,,,,,,Review-variations
2025-08-31,Search_EN_ProductReview_2024.08.05,UTC,USD,519,91,0.175337,65,0.714285,2.647252,3.706153,240.9,2.021194,0.542319,2.0,90.0,0.373599,120.45,0.030769,ProductReview
2025-08-31,Search_EN_Trust_2025.03.17,UTC,USD,94,3,0.031914,0,0.0,7.0,0.0,21.0,2.180851,0.484536,,,,,,Trust
2025-09-01,Search_EN_Review-variations_2024.04.29,UTC,USD,190,15,0.078947,12,0.8,3.788,4.735,56.82,2.110526,0.073189,1.0,60.0,1.055966,56.82,0.083333,Review-variations
2025-09-01,Search_EN_ProductReview_2024.08.05,UTC,USD,548,95,0.173357,73,0.768421,2.516842,3.275342,239.1,1.711678,0.513589,2.0,136.12,0.569301,119.55,0.027397,ProductReview
2025-09-01,Search_EN_Trust_2025.03.17,UTC,USD,111,7,0.063063,4,0.571428,4.714285,8.25,33.0,2.36036,0.478448,1.0,90.0,2.727272,33.0,0.25,Trust
2025-09-01,Search_EN_Competitors_2024.08.12,UTC,USD,336,10,0.029761,8,0.8,2.75,3.4375,27.5,1.300595,0.831683,,,,,,Competitors
2025-09-02,Search_EN_ProductReview_2024.08.05,UTC,USD,502,85,0.169322,65,0.764705,2.862352,3.743076,243.3,1.669322,0.536898,2.0,151.1,0.621043,121.65,0.030769,ProductReview
2025-09-02,Search_EN_Review-variations_2024.04.29,UTC,USD,186,13,0.069892,8,0.615384,3.266153,5.3075,42.46,2.258064,0.059028,,,,,,Review-variations
2025-09-02,Search_EN_Trust_2025.03.17,UTC,USD,122,5,0.040983,3,0.6,4.8,8.0,24.0,2.180327,0.431095,1.0,90.0,3.75,24.0,0.333333,Trust
2025-09-02,Search_EN_Competitors_2024.08.12,UTC,USD,318,11,0.034591,5,0.454545,2.636363,5.8,29.0,1.389937,0.783251,,,,,,Competitors
2025-09-03,Search_EN_Trust_2025.03.17,UTC,USD,105,3,0.028571,1,0.333333,5.0,15.0,15.0,2.561904,0.425101,,,,,,Trust
2025-09-03,Search_EN_Competitors_2024.08.12,UTC,USD,420,11,0.02619,9,0.818181,2.818181,3.444444,31.0,1.354761,0.871369,3.0,182.7,5.893548,10.333333,0.333333,Competitors
2025-09-03,Search_EN_ProductReview_2024.08.05,UTC,USD,584,93,0.159246,67,0.72043,2.577419,3.577611,239.7,1.729452,0.508268,2.0,167.46,0.698623,119.85,0.02985,ProductReview
2025-09-03,Search_EN_Review-variations_2024.04.29,UTC,USD,178,15,0.084269,12,0.8,2.909333,3.636666,43.64,2.061797,0.054334,,,,,,Review-variations
2025-09-04,Search_EN_ProductReview_2024.08.05,UTC,USD,615,86,0.139837,62,0.72093,2.784883,3.862903,239.5,1.786991,0.574229,1.0,76.14,0.317912,239.5,0.016129,ProductReview
2025-09-04,Search_EN_Competitors_2024.08.12,UTC,USD,272,14,0.05147,8,0.571428,2.892857,5.0625,40.5,1.5,0.790697,,,,,,Competitors
2025-09-04,Search_EN_Trust_2025.03.17,UTC,USD,112,5,0.044642,2,0.4,4.8,12.0,24.0,2.330357,0.35443,,,,,,Trust
2025-09-04,Search_EN_Review-variations_2024.04.29,UTC,USD,203,20,0.098522,13,0.65,2.966,4.563076,59.32,2.182266,0.067129,,,,,,Review-variations
2025-09-05,Search_EN_Competitors_2024.08.12,UTC,USD,290,6,0.020689,3,0.5,2.666666,5.333333,16.0,1.541379,0.840579,,,,,,Competitors
2025-09-05,Search_EN_Review-variations_2024.04.29,UTC,USD,127,7,0.055118,5,0.714285,3.617142,5.064,25.32,2.346456,0.047194,,,,,,Review-variations
2025-09-05,Search_EN_Trust_2025.03.17,UTC,USD,111,6,0.054054,3,0.5,4.833333,9.666666,29.0,2.45045,0.406593,,,,,,Trust
2025-09-05,Search_EN_ProductReview_2024.08.05,UTC,USD,487,94,0.193018,67,0.712765,2.527659,3.546268,237.6,1.724845,0.581145,,,,,,ProductReview
2025-09-06,Search_EN_ProductReview_2024.08.05,UTC,USD,482,90,0.186721,76,0.844444,2.643333,3.130263,237.9,1.763485,0.559814,2.0,90.22,0.379234,118.95,0.026315,ProductReview
2025-09-06,Search_EN_Review-variations_2024.04.29,UTC,USD,106,11,0.103773,7,0.636363,3.545454,5.571428,39.0,2.009433,0.060158,,,,,,Review-variations
2025-09-06,Search_EN_Trust_2025.03.17,UTC,USD,63,5,0.079365,2,0.4,4.6,11.5,23.0,2.365079,0.456521,,,,,,Trust
2025-09-06,Search_EN_Competitors_2024.08.12,UTC,USD,321,8,0.024922,2,0.25,3.0625,12.25,24.5,1.632398,0.872282,,,,,,Competitors
2025-09-07,Search_EN_Review-variations_2024.04.29,UTC,USD,122,9,0.07377,8,0.888888,3.777777,4.25,34.0,2.180327,0.067143,1.0,75.0,2.205882,34.0,0.125,Review-variations
2025-09-07,Search_EN_Trust_2025.03.17,UTC,USD,84,6,0.071428,1,0.166666,4.833333,29.0,29.0,2.166666,0.48,,,,,,Trust
2025-09-07,Search_EN_Competitors_2024.08.12,UTC,USD,339,6,0.017699,3,0.5,3.083333,6.166666,18.5,1.442477,0.841191,,,,,,Competitors
2025-09-07,Search_EN_ProductReview_2024.08.05,UTC,USD,568,93,0.163732,72,0.774193,2.579569,3.331944,239.9,1.741197,0.586776,4.0,273.59,1.140433,59.975,0.055555,ProductReview
2025-09-08,Search_EN_Trust_2025.03.17,UTC,USD,124,0,0.0,0,0.0,0.0,0.0,0.0,2.395161,0.444444,,,,,,Trust
2025-09-08,Search_EN_Competitors_2024.08.12,UTC,USD,320,15,0.046875,11,0.733333,2.8,3.818181,42.0,1.284375,0.784313,1.0,60.89,1.449761,42.0,0.090909,Competitors
2025-09-08,Search_EN_ProductReview_2024.08.05,UTC,USD,513,87,0.16959,66,0.75862,2.75977,3.637878,240.1,1.904483,0.547491,1.0,75.0,0.312369,240.1,0.015151,ProductReview
2025-09-08,Search_EN_Review-variations_2024.04.29,UTC,USD,120,10,0.083333,6,0.6,2.782,4.636666,27.82,2.175,0.03992,,,,,,Review-variations
2025-09-09,Search_EN_Review-variations_2024.04.29,UTC,USD,134,8,0.059701,7,0.875,3.6875,4.214285,29.5,2.33582,0.041979,,,,,,Review-variations
2025-09-09,Search_EN_Trust_2025.03.17,UTC,USD,121,4,0.033057,1,0.25,5.0,20.0,20.0,2.454545,0.430604,,,,,,Trust
2025-09-09,Search_EN_Competitors_2024.08.12,UTC,USD,396,14,0.035353,9,0.642857,2.821428,4.388888,39.5,1.444444,0.859002,1.0,45.0,1.13924,39.5,0.111111,Competitors
2025-09-09,Search_EN_ProductReview_2024.08.05,UTC,USD,549,91,0.165755,65,0.714285,2.636263,3.690769,239.9,1.899817,0.490616,,,,,,ProductReview
2025-09-10,Search_EN_Competitors_2024.08.12,UTC,USD,407,13,0.031941,7,0.538461,2.76923,5.142857,36.0,1.240786,0.837448,,,,,,Competitors
2025-09-10,Search_EN_ProductReview_2024.08.05,UTC,USD,564,88,0.156028,60,0.681818,2.762499,4.051666,243.1,1.671985,0.543876,2.0,60.89,0.250473,121.55,0.033333,ProductReview
2025-09-10,Search_EN_Review-variations_2024.04.29,UTC,USD,136,17,0.125,11,0.647058,3.695294,5.710909,62.82,2.161764,0.046353,,,,,,Review-variations
2025-09-10,Search_EN_Trust_2025.03.17,UTC,USD,120,2,0.016666,0,0.0,5.0,0.0,10.0,2.5,0.447761,,,,,,Trust
2025-09-11,Search_EN_Review-variations_2024.04.29,UTC,USD,163,15,0.092024,7,0.466666,3.733333,8.0,56.0,2.141104,0.053302,,,,,,Review-variations
2025-09-11,Search_EN_Trust_2025.03.17,UTC,USD,96,6,0.0625,4,0.666666,4.5,6.75,27.0,2.489583,0.424778,,,,,,Trust
2025-09-11,Search_EN_Competitors_2024.08.12,UTC,USD,233,14,0.060085,9,0.642857,3.071428,4.777777,43.0,1.291845,0.792517,,,,,,Competitors
2025-09-11,Search_EN_ProductReview_2024.08.05,UTC,USD,542,83,0.153136,63,0.759036,2.872289,3.784126,238.4,1.797047,0.522157,2.0,136.11,0.570931,119.2,0.031746,ProductReview
2025-09-12,Search_EN_Competitors_2024.08.12,UTC,USD,275,14,0.050909,9,0.642857,2.964285,4.611111,41.5,1.181818,0.856697,1.0,30.0,0.722891,41.5,0.111111,Competitors
2025-09-12,Search_EN_Review-variations_2024.04.29,UTC,USD,143,11,0.076923,5,0.454545,3.756363,8.264,41.32,2.090909,0.053258,,,,,,Review-variations
2025-09-12,Search_EN_Trust_2025.03.17,UTC,USD,88,5,0.056818,4,0.8,5.0,6.25,25.0,2.329545,0.34375,,,,,,Trust
2025-09-12,Search_EN_ProductReview_2024.08.05,UTC,USD,581,87,0.149741,59,0.67816,2.757471,4.066101,239.9,1.745266,0.594069,3.0,181.36,0.755981,79.966666,0.050847,ProductReview
2025-09-13,Search_EN_Review-variations_2024.04.29,UTC,USD,112,7,0.0625,4,0.571428,3.331428,5.83,23.32,1.857142,0.06422,,,,,,Review-variations
2025-09-13,Search_EN_ProductReview_2024.08.05,UTC,USD,642,90,0.140186,72,0.8,2.672222,3.340277,240.5,1.867601,0.594995,,,,,,ProductReview
2025-09-13,Search_EN_Competitors_2024.08.12,UTC,USD,258,9,0.034883,7,0.777777,2.944444,3.785714,26.5,1.310077,0.798761,,,,,,Competitors
2025-09-13,Search_EN_Trust_2025.03.17,UTC,USD,90,5,0.055555,3,0.6,4.8,8.0,24.0,2.388888,0.45,,,,,,Trust
2025-09-14,Search_EN_ProductReview_2024.08.05,UTC,USD,589,88,0.149405,68,0.772727,2.725,3.52647,239.8,1.748726,0.582591,1.0,60.0,0.250208,239.8,0.014705,ProductReview
2025-09-14,Search_EN_Review-variations_2024.04.29,UTC,USD,119,12,0.10084,9,0.75,3.568333,4.757777,42.82,2.739495,0.069105,,,,,,Review-variations
2025-09-14,Search_EN_Trust_2025.03.17,UTC,USD,79,5,0.063291,3,0.6,4.8,8.0,24.0,2.405063,0.451428,,,,,,Trust
2025-09-14,Search_EN_Competitors_2024.08.12,UTC,USD,259,7,0.027027,5,0.714285,3.142857,4.4,22.0,1.420849,0.875,,,,,,Competitors
2025-09-15,Search_EN_Review-variations_2024.04.29,UTC,USD,158,16,0.101265,11,0.6875,3.67375,5.343636,58.78,2.265822,0.057981,,,,,,Review-variations
2025-09-15,Search_EN_ProductReview_2024.08.05,UTC,USD,857,99,0.115519,77,0.777777,2.422222,3.114285,239.8,2.064177,0.544472,3.0,166.13,0.692785,79.933333,0.038961,ProductReview
2025-09-15,Search_EN_Trust_2025.03.17,UTC,USD,104,2,0.01923,0,0.0,5.0,0.0,10.0,2.432692,0.421052,,,,,,Trust
2025-09-15,Search_EN_Competitors_2024.08.12,UTC,USD,262,15,0.057251,9,0.6,2.833333,4.722222,42.5,1.370229,0.823899,2.0,75.0,1.764705,21.25,0.222222,Competitors
2025-09-16,Search_EN_ProductReview_2024.08.05,UTC,USD,635,97,0.152755,80,0.824742,2.473195,2.99875,239.9,2.026771,0.46486,4.0,211.57,0.881909,59.975,0.05,ProductReview
2025-09-16,Search_EN_Trust_2025.03.17,UTC,USD,120,5,0.041666,5,1.0,4.8,4.8,24.0,2.441666,0.383386,,,,,,Trust
2025-09-16,Search_EN_Review-variations_2024.04.29,UTC,USD,136,17,0.125,8,0.470588,3.05647,6.495,51.96,1.941176,0.048415,1.0,75.0,1.443418,51.96,0.125,Review-variations
2025-09-16,Search_EN_Competitors_2024.08.12,UTC,USD,403,10,0.024813,9,0.9,2.75,3.055555,27.5,1.280397,0.837837,,,,,,Competitors
2025-09-17,Search_EN_Review-variations_2024.04.29,UTC,USD,173,15,0.086705,9,0.6,3.606666,6.011111,54.1,1.947976,0.057058,2.0,121.15,2.239371,27.05,0.222222,Review-variations
2025-09-17,Search_EN_Trust_2025.03.17,UTC,USD,116,7,0.060344,3,0.428571,5.0,11.666666,35.0,2.5,0.442748,,,,,,Trust
2025-09-17,Search_EN_Competitors_2024.08.12,UTC,USD,618,14,0.022653,11,0.785714,2.642857,3.363636,37.0,1.203883,0.81638,,,,,,Competitors
2025-09-17,Search_EN_ProductReview_2024.08.05,UTC,USD,771,96,0.124513,79,0.822916,2.490625,3.026582,239.1,1.879377,0.547196,1.0,75.0,0.313676,239.1,0.012658,ProductReview
2025-09-18,Search_EN_Review-variations_2024.04.29,UTC,USD,188,10,0.053191,5,0.5,3.228,6.456,32.28,2.388297,0.065006,1.0,75.0,2.32342,32.28,0.2,Review-variations
2025-09-18,Search_EN_Trust_2025.03.17,UTC,USD,79,3,0.037974,1,0.333333,5.0,15.0,15.0,2.468354,0.37619,,,,,,Trust
2025-09-18,Search_EN_Competitors_2024.08.12,UTC,USD,342,7,0.020467,5,0.714285,2.571428,3.6,18.0,1.210526,0.846534,,,,,,Competitors
2025-09-18,Search_EN_ProductReview_2024.08.05,UTC,USD,659,100,0.151745,77,0.77,2.424,3.148051,242.4,1.825493,0.554247,2.0,76.14,0.314108,121.2,0.025974,ProductReview
2025-09-19,Search_EN_ProductReview_2024.08.05,UTC,USD,766,89,0.116187,60,0.674157,2.679775,3.975,238.5,1.954308,0.566149,2.0,137.04,0.574591,119.25,0.033333,ProductReview
2025-09-19,Search_EN_Competitors_2024.08.12,UTC,USD,264,15,0.056818,11,0.733333,2.766666,3.772727,41.5,1.325757,0.788059,1.0,90.0,2.168674,41.5,0.090909,Competitors
2025-09-19,Search_EN_Trust_2025.03.17,UTC,USD,86,2,0.023255,2,1.0,5.0,5.0,10.0,2.453488,0.35102,,,,,,Trust
2025-09-19,Search_EN_Review-variations_2024.04.29,UTC,USD,135,10,0.074074,3,0.3,2.942,9.806666,29.42,1.948148,0.050092,,,,,,Review-variations
2025-09-20,Search_EN_Competitors_2024.08.12,UTC,USD,236,6,0.025423,4,0.666666,2.833333,4.25,17.0,1.34322,0.794612,,,,,,Competitors
2025-09-20,Search_EN_ProductReview_2024.08.05,UTC,USD,646,99,0.15325,74,0.747474,2.425252,3.244594,240.1,1.97678,0.486445,3.0,136.81,0.569804,80.033333,0.04054,ProductReview
2025-09-20,Search_EN_Trust_2025.03.17,UTC,USD,109,5,0.045871,3,0.6,4.6,7.666666,23.0,2.339449,0.504629,,,,,,Trust
2025-09-20,Search_EN_Review-variations_2024.04.29,UTC,USD,104,11,0.105769,6,0.545454,2.645454,4.85,29.1,2.346153,0.061356,,,,,,Review-variations
2025-09-21,Search_EN_ProductReview_2024.08.05,UTC,USD,633,96,0.151658,72,0.75,2.495833,3.327777,239.6,1.958925,0.548051,3.0,135.91,0.567237,79.866666,0.041666,ProductReview
2025-09-21,Search_EN_Review-variations_2024.04.29,UTC,USD,103,14,0.135922,8,0.571428,3.708571,6.49,51.92,2.097087,0.060623,,,,,,Review-variations
2025-09-21,Search_EN_Trust_2025.03.17,UTC,USD,69,2,0.028985,1,0.5,4.0,8.0,8.0,2.15942,0.420731,,,,,,Trust
2025-09-21,Search_EN_Competitors_2024.08.12,UTC,USD,222,11,0.049549,9,0.818181,2.90909,3.555555,32.0,1.288288,0.807272,,,,,,Competitors
2025-09-22,Search_EN_Review-variations_2024.04.29,UTC,USD,203,12,0.059113,6,0.5,3.678333,7.356666,44.14,2.566502,0.073021,,,,,,Review-variations
2025-09-22,Search_EN_ProductReview_2024.08.05,UTC,USD,614,96,0.156351,66,0.6875,2.475,3.6,237.6,2.032573,0.521222,2.0,60.45,0.254419,118.8,0.030303,ProductReview
2025-09-22,Search_EN_Competitors_2024.08.12,UTC,USD,323,12,0.037151,10,0.833333,2.833333,3.4,34.0,1.41486,0.836787,1.0,76.13,2.239117,34.0,0.1,Competitors
2025-09-22,Search_EN_Trust_2025.03.17,UTC,USD,96,1,0.010416,0,0.0,5.0,0.0,5.0,2.458333,0.403361,,,,,,Trust
2025-09-23,Search_EN_ProductReview_2024.08.05,UTC,USD,526,98,0.186311,72,0.734693,2.42551,3.301388,237.7,1.826996,0.464254,4.0,242.49,1.020151,59.425,0.055555,ProductReview
2025-09-23,Search_EN_Competitors_2024.08.12,UTC,USD,291,14,0.048109,10,0.714285,2.964285,4.15,41.5,1.357388,0.871257,,,,,,Competitors
2025-09-23,Search_EN_Trust_2025.03.17,UTC,USD,111,2,0.018018,1,0.5,5.0,10.0,10.0,2.9009,0.5,,,,,,Trust
2025-09-23,Search_EN_Review-variations_2024.04.29,UTC,USD,147,12,0.081632,5,0.416666,3.0,7.2,36.0,2.360544,0.05138,,,,,,Review-variations
2025-09-24,Search_EN_Competitors_2024.08.12,UTC,USD,345,12,0.034782,8,0.666666,2.833333,4.25,34.0,1.446376,0.871212,1.0,60.92,1.791764,34.0,0.125,Competitors
2025-09-24,Search_EN_Trust_2025.03.17,UTC,USD,104,8,0.076923,4,0.5,4.75,9.5,38.0,2.951923,0.481481,,,,,,Trust
2025-09-24,Search_EN_Review-variations_2024.04.29,UTC,USD,188,15,0.079787,8,0.533333,3.488,6.54,52.32,2.617021,0.064604,,,,,,Review-variations
2025-09-24,Search_EN_ProductReview_2024.08.05,UTC,USD,683,99,0.144948,73,0.737373,2.416161,3.276712,239.2,1.991215,0.52297,1.0,75.0,0.313545,239.2,0.013698,ProductReview
2025-09-25,Search_EN_Competitors_2024.08.12,UTC,USD,380,10,0.026315,4,0.4,2.95,7.375,29.5,1.281578,0.829694,1.0,75.0,2.542372,29.5,0.25,Competitors
2025-09-25,Search_EN_Trust_2025.03.17,UTC,USD,60,5,0.083333,4,0.8,4.8,6.0,24.0,2.266666,0.327868,,,,,,Trust
2025-09-25,Search_EN_Review-variations_2024.04.29,UTC,USD,114,11,0.096491,8,0.727272,2.967272,4.08,32.64,2.105263,0.041958,,,,,,Review-variations
2025-09-25,Search_EN_ProductReview_2024.08.05,UTC,USD,636,100,0.157232,77,0.77,2.389,3.102597,238.9,1.88522,0.562831,2.0,75.91,0.317748,119.45,0.025974,ProductReview
2025-09-26,Search_EN_Competitors_2024.08.12,UTC,USD,298,7,0.023489,5,0.714285,3.142857,4.4,22.0,1.392617,0.849002,,,,,,Competitors
2025-09-26,Search_EN_Trust_2025.03.17,UTC,USD,70,6,0.085714,3,0.5,4.5,9.0,27.0,2.171428,0.39548,,,,,,Trust
2025-09-26,Search_EN_Review-variations_2024.04.29,UTC,USD,107,13,0.121495,11,0.846153,3.716923,4.392727,48.32,1.953271,0.044453,,,,,,Review-variations
2025-09-26,Search_EN_ProductReview_2024.08.05,UTC,USD,653,96,0.147013,69,0.71875,2.482291,3.453623,238.3,1.753445,0.553859,2.0,75.91,0.318548,119.15,0.028985,ProductReview
2025-09-27,Search_EN_Review-variations_2024.04.29,UTC,USD,126,8,0.063492,6,0.75,3.415,4.553333,27.32,2.730158,0.076595,,,,,,Review-variations
2025-09-27,Search_EN_Competitors_2024.08.12,UTC,USD,313,9,0.028753,6,0.666666,2.833333,4.25,25.5,1.361022,0.899425,,,,,,Competitors
2025-09-27,Search_EN_ProductReview_2024.08.05,UTC,USD,481,97,0.201663,74,0.762886,2.469072,3.236486,239.5,1.694386,0.600499,1.0,76.14,0.317912,239.5,0.013513,ProductReview
2025-09-27,Search_EN_Trust_2025.03.17,UTC,USD,76,5,0.065789,2,0.4,4.8,12.0,24.0,2.013157,0.477987,,,,,,Trust
2025-09-28,Search_EN_Trust_2025.03.17,UTC,USD,77,3,0.038961,2,0.666666,5.0,7.5,15.0,2.77922,0.447674,,,,,,Trust
2025-09-28,Search_EN_Review-variations_2024.04.29,UTC,USD,119,7,0.058823,6,0.857142,2.902857,3.386666,20.32,2.352941,0.07886,,,,,,Review-variations
2025-09-28,Search_EN_Competitors_2024.08.12,UTC,USD,323,10,0.030959,8,0.8,2.85,3.5625,28.5,1.3839,0.899721,2.0,60.23,2.113333,14.25,0.25,Competitors
2025-09-28,Search_EN_ProductReview_2024.08.05,UTC,USD,582,101,0.173539,75,0.742574,2.372277,3.194666,239.6,1.927835,0.615221,1.0,60.91,0.254215,239.6,0.013333,ProductReview
2025-09-29,Search_EN_ProductReview_2024.08.05,UTC,USD,725,100,0.137931,79,0.79,2.381,3.013924,238.1,2.227586,0.535055,2.0,75.68,0.317849,119.05,0.025316,ProductReview
